lowlevel.spectral_flux.mean,lowlevel.spectral_kurtosis.mean,lowlevel.spectral_rms.mean,lowlevel.spectral_rolloff.mean,lowlevel.spectral_skewness.mean,lowlevel.spectral_spread.mean,lowlevel.spectral_decrease.mean,lowlevel.spectral_centroid.mean,lowlevel.spectral_complexity.mean,lowlevel.spectral_contrast_coeffs.mean.0,lowlevel.spectral_contrast_coeffs.mean.1,lowlevel.spectral_contrast_coeffs.mean.2,lowlevel.spectral_contrast_coeffs.mean.3,lowlevel.spectral_contrast_coeffs.mean.4,lowlevel.spectral_contrast_coeffs.mean.5,lowlevel.spectral_contrast_valleys.mean.0,lowlevel.spectral_contrast_valleys.mean.1,lowlevel.spectral_contrast_valleys.mean.2,lowlevel.spectral_contrast_valleys.mean.3,lowlevel.spectral_contrast_valleys.mean.4,lowlevel.spectral_contrast_valleys.mean.5,lowlevel.dissonance.mean
0.03,73.05,0.00,521.10,6.47,2551599.75,0.00,442.09,6.31,-0.50,-0.57,-0.74,-0.79,-0.79,-0.86,-9.18,-6.94,-8.61,-9.50,-10.38,-13.06,0.27
0.04,75.80,0.00,530.67,6.69,2304937.00,0.00,450.44,6.33,-0.50,-0.57,-0.72,-0.79,-0.79,-0.86,-9.14,-6.98,-8.59,-9.50,-10.36,-13.01,0.27
0.04,75.94,0.00,515.84,6.63,2209825.00,0.00,443.97,5.98,-0.50,-0.57,-0.72,-0.79,-0.80,-0.86,-9.20,-7.16,-8.64,-9.61,-10.45,-13.09,0.26
0.05,79.24,0.00,513.93,6.86,2319167.00,0.00,449.81,6.16,-0.49,-0.56,-0.71,-0.79,-0.80,-0.86,-9.08,-7.19,-8.51,-9.57,-10.41,-13.01,0.26
0.04,75.63,0.00,528.28,6.72,2298380.75,0.00,446.10,5.89,-0.49,-0.55,-0.70,-0.80,-0.80,-0.87,-9.12,-7.42,-8.68,-9.63,-10.49,-13.00,0.25
0.04,79.84,0.00,512.97,6.95,2297147.50,0.00,446.42,5.84,-0.48,-0.53,-0.69,-0.79,-0.80,-0.87,-9.11,-7.50,-8.71,-9.71,-10.47,-12.96,0.23
0.04,74.75,0.00,488.09,6.73,2701492.75,0.00,443.87,5.98,-0.46,-0.52,-0.68,-0.79,-0.80,-0.87,-9.16,-7.60,-8.73,-9.68,-10.38,-12.83,0.23
0.04,72.38,0.00,459.85,6.61,2515756.00,0.00,414.73,6.09,-0.44,-0.51,-0.66,-0.78,-0.80,-0.87,-9.11,-7.69,-8.77,-9.74,-10.39,-12.87,0.22
0.04,68.87,0.00,439.76,6.53,2446166.50,0.00,394.02,6.18,-0.43,-0.51,-0.64,-0.77,-0.80,-0.87,-9.11,-7.77,-8.83,-9.74,-10.36,-12.79,0.21
0.04,65.79,0.01,414.39,6.32,2223342.50,0.00,371.25,6.22,-0.42,-0.51,-0.63,-0.77,-0.80,-0.87,-9.10,-7.88,-8.85,-9.72,-10.29,-12.72,0.22
0.05,71.45,0.01,418.22,6.67,2105200.25,0.00,371.91,6.47,-0.43,-0.52,-0.64,-0.77,-0.80,-0.87,-9.01,-7.74,-8.74,-9.68,-10.33,-12.75,0.22
0.05,74.96,0.01,422.53,6.69,2505068.00,0.00,398.58,6.49,-0.44,-0.51,-0.65,-0.77,-0.80,-0.87,-9.00,-7.74,-8.70,-9.67,-10.32,-12.76,0.21
0.05,80.73,0.01,416.79,7.03,2416202.00,0.00,395.64,6.56,-0.44,-0.50,-0.65,-0.77,-0.80,-0.88,-8.97,-7.68,-8.71,-9.66,-10.36,-12.76,0.21
0.04,84.37,0.01,447.89,7.12,2396042.25,0.00,423.57,6.44,-0.45,-0.49,-0.66,-0.77,-0.80,-0.88,-8.98,-7.66,-8.69,-9.67,-10.37,-12.81,0.21
0.04,87.39,0.01,465.60,7.26,2566865.50,0.00,452.30,6.31,-0.47,-0.50,-0.67,-0.77,-0.80,-0.88,-8.96,-7.64,-8.71,-9.69,-10.43,-12.87,0.20
0.04,89.00,0.01,490.48,7.39,2363664.25,0.00,444.44,6.31,-0.48,-0.50,-0.68,-0.77,-0.80,-0.88,-8.94,-7.62,-8.71,-9.72,-10.49,-12.93,0.21
0.04,90.18,0.01,525.41,7.39,2014025.75,0.00,462.03,6.22,-0.48,-0.50,-0.69,-0.78,-0.80,-0.88,-9.08,-7.65,-8.72,-9.76,-10.55,-13.06,0.21
0.04,87.76,0.00,537.85,7.26,2383800.25,0.00,463.68,6.38,-0.49,-0.50,-0.70,-0.78,-0.80,-0.88,-9.10,-7.67,-8.69,-9.75,-10.53,-13.02,0.21
0.04,90.70,0.00,558.43,7.38,2253173.00,0.00,467.86,6.56,-0.51,-0.51,-0.71,-0.78,-0.80,-0.88,-9.00,-7.52,-8.63,-9.77,-10.56,-13.08,0.22
0.03,91.38,0.00,568.48,7.39,2009822.00,0.00,472.75,6.51,-0.52,-0.52,-0.73,-0.79,-0.80,-0.87,-9.06,-7.40,-8.63,-9.85,-10.66,-13.21,0.22
0.03,95.57,0.00,598.14,7.65,2212429.75,0.00,490.97,6.42,-0.52,-0.53,-0.73,-0.79,-0.80,-0.87,-9.17,-7.31,-8.70,-9.89,-10.71,-13.21,0.22
0.03,95.29,0.00,589.53,7.65,2362453.50,0.00,484.90,6.31,-0.52,-0.54,-0.73,-0.80,-0.80,-0.87,-9.17,-7.28,-8.73,-9.90,-10.73,-13.22,0.21
0.03,92.03,0.00,579.00,7.50,2265969.00,0.00,469.86,7.16,-0.52,-0.54,-0.72,-0.80,-0.80,-0.87,-8.91,-7.05,-8.60,-9.75,-10.53,-13.03,0.22
0.03,87.17,0.00,587.14,7.30,2361694.25,0.00,463.19,7.71,-0.51,-0.55,-0.71,-0.80,-0.80,-0.87,-8.84,-6.90,-8.51,-9.65,-10.46,-12.94,0.22
0.03,87.63,0.01,575.65,7.33,2442454.75,0.00,450.41,8.04,-0.49,-0.54,-0.69,-0.79,-0.79,-0.86,-8.63,-6.56,-8.32,-9.40,-10.20,-12.67,0.23
0.03,85.05,0.01,562.26,7.16,2405139.00,0.00,437.65,7.98,-0.48,-0.56,-0.68,-0.79,-0.79,-0.86,-8.69,-6.55,-8.39,-9.45,-10.21,-12.71,0.23
0.03,87.81,0.01,559.38,7.37,1968608.38,0.00,434.10,7.84,-0.49,-0.57,-0.69,-0.79,-0.79,-0.86,-8.77,-6.55,-8.47,-9.53,-10.33,-12.86,0.23
0.03,82.44,0.01,556.51,7.04,2129937.50,0.00,432.05,7.78,-0.51,-0.59,-0.69,-0.80,-0.79,-0.86,-8.74,-6.51,-8.50,-9.54,-10.36,-12.87,0.25
0.02,86.23,0.00,544.55,7.27,1591824.00,0.00,424.78,7.56,-0.51,-0.61,-0.70,-0.80,-0.79,-0.86,-8.76,-6.47,-8.54,-9.60,-10.50,-13.03,0.25
0.03,79.21,0.00,562.26,6.95,1701651.25,0.00,440.37,7.40,-0.52,-0.62,-0.70,-0.80,-0.80,-0.86,-8.72,-6.48,-8.42,-9.51,-10.41,-12.91,0.26
0.03,83.04,0.00,576.61,7.11,1929502.75,0.00,465.07,7.38,-0.53,-0.64,-0.68,-0.80,-0.80,-0.86,-8.74,-6.49,-8.45,-9.54,-10.43,-12.94,0.27
0.03,73.14,0.00,598.62,6.60,2070417.75,0.00,459.59,7.44,-0.53,-0.65,-0.68,-0.80,-0.80,-0.86,-8.65,-6.57,-8.42,-9.50,-10.36,-12.90,0.29
0.04,67.79,0.00,594.79,6.32,1998582.63,0.00,457.30,7.93,-0.53,-0.66,-0.67,-0.79,-0.80,-0.86,-8.62,-6.52,-8.36,-9.49,-10.32,-12.87,0.30
0.04,63.36,0.00,605.32,6.05,2456347.50,0.00,467.34,8.07,-0.54,-0.68,-0.67,-0.79,-0.80,-0.87,-8.59,-6.55,-8.33,-9.45,-10.28,-12.82,0.32
0.04,61.40,0.00,626.38,5.94,2045578.00,0.00,471.17,8.13,-0.55,-0.70,-0.67,-0.78,-0.80,-0.86,-8.51,-6.57,-8.37,-9.48,-10.28,-12.90,0.34
0.04,59.46,0.00,632.60,5.85,2356087.25,0.00,471.41,8.44,-0.56,-0.70,-0.68,-0.78,-0.80,-0.87,-8.44,-6.56,-8.30,-9.44,-10.20,-12.82,0.35
0.04,57.89,0.00,622.55,5.78,2221386.50,0.00,451.98,8.78,-0.55,-0.71,-0.67,-0.77,-0.80,-0.86,-8.37,-6.44,-8.26,-9.36,-10.13,-12.76,0.35
0.04,53.83,0.00,596.71,5.51,2594081.00,0.00,462.39,9.36,-0.54,-0.71,-0.67,-0.76,-0.79,-0.86,-8.31,-6.45,-8.16,-9.29,-9.99,-12.64,0.37
0.04,51.49,0.00,602.45,5.39,2418934.00,0.00,443.87,8.71,-0.54,-0.71,-0.67,-0.76,-0.79,-0.86,-8.39,-6.60,-8.27,-9.39,-10.02,-12.72,0.37
0.04,52.12,0.00,602.93,5.44,1786712.50,0.00,424.84,8.51,-0.53,-0.71,-0.66,-0.75,-0.79,-0.86,-8.42,-6.65,-8.41,-9.45,-10.05,-12.83,0.37
0.04,43.65,0.00,571.83,4.95,2388068.25,0.00,423.23,10.04,-0.51,-0.69,-0.65,-0.74,-0.79,-0.86,-8.16,-6.42,-8.17,-9.17,-9.70,-12.48,0.37
0.05,38.25,0.01,534.50,4.61,2817981.50,0.00,398.49,11.18,-0.49,-0.68,-0.66,-0.73,-0.79,-0.85,-7.91,-6.16,-7.94,-8.87,-9.37,-12.14,0.37
0.05,37.90,0.01,501.48,4.62,2743521.00,0.00,378.38,11.13,-0.49,-0.68,-0.66,-0.73,-0.79,-0.85,-7.90,-6.13,-8.01,-8.89,-9.39,-12.14,0.38
0.05,39.40,0.01,470.38,4.77,2388990.25,0.00,349.12,10.67,-0.48,-0.68,-0.67,-0.74,-0.79,-0.85,-7.89,-6.18,-8.05,-8.96,-9.46,-12.18,0.36
0.05,39.14,0.01,423.96,4.76,2681549.25,0.00,348.28,10.47,-0.46,-0.69,-0.69,-0.74,-0.79,-0.86,-8.00,-6.24,-8.06,-8.96,-9.49,-12.17,0.36
0.05,40.39,0.01,421.09,4.88,2509649.25,0.00,312.38,9.93,-0.45,-0.69,-0.70,-0.75,-0.80,-0.86,-7.99,-6.23,-8.10,-9.03,-9.56,-12.16,0.35
0.05,43.78,0.01,395.25,5.11,2738669.25,0.00,319.18,9.27,-0.45,-0.70,-0.71,-0.76,-0.80,-0.86,-8.13,-6.23,-8.18,-9.10,-9.67,-12.21,0.35
0.05,48.57,0.01,397.17,5.46,2157314.75,0.00,306.91,9.29,-0.44,-0.71,-0.71,-0.76,-0.80,-0.86,-8.05,-6.15,-8.19,-9.11,-9.76,-12.27,0.35
0.05,48.08,0.01,405.78,5.45,2437053.50,0.00,309.18,9.64,-0.44,-0.71,-0.72,-0.77,-0.80,-0.86,-7.94,-6.04,-8.12,-9.04,-9.72,-12.13,0.36
0.05,50.51,0.01,414.39,5.63,2526297.00,0.00,297.79,9.53,-0.45,-0.72,-0.73,-0.77,-0.80,-0.86,-7.92,-6.01,-8.20,-9.08,-9.80,-12.13,0.37
0.04,49.64,0.01,419.66,5.63,1806929.13,0.00,317.34,9.33,-0.46,-0.72,-0.73,-0.78,-0.81,-0.86,-7.98,-6.06,-8.17,-9.10,-9.87,-12.25,0.36
0.04,48.11,0.01,457.46,5.49,2720557.00,0.00,340.06,9.36,-0.48,-0.73,-0.74,-0.78,-0.81,-0.86,-7.97,-6.05,-8.18,-9.06,-9.80,-12.07,0.37
0.04,47.66,0.01,461.29,5.48,2483525.50,0.00,334.57,9.31,-0.50,-0.73,-0.74,-0.78,-0.81,-0.86,-7.92,-6.09,-8.12,-9.04,-9.81,-12.08,0.38
0.05,44.92,0.01,451.68,5.33,2502978.75,0.00,340.61,9.21,-0.51,-0.72,-0.74,-0.79,-0.81,-0.86,-7.82,-6.04,-8.12,-8.92,-9.75,-12.01,0.38
0.05,45.39,0.01,469.20,5.36,2584510.00,0.00,347.76,9.18,-0.52,-0.72,-0.74,-0.79,-0.80,-0.86,-7.75,-6.02,-8.11,-8.88,-9.74,-11.99,0.38
0.05,43.93,0.01,495.26,5.23,2826276.00,0.00,362.94,9.09,-0.53,-0.72,-0.74,-0.79,-0.80,-0.86,-7.77,-5.99,-8.11,-8.82,-9.65,-11.91,0.38
0.06,40.71,0.01,517.51,5.03,2992260.00,0.00,376.50,9.67,-0.55,-0.71,-0.73,-0.79,-0.80,-0.86,-7.59,-5.91,-8.00,-8.67,-9.50,-11.80,0.39
0.06,35.35,0.01,533.36,4.66,3290993.25,0.00,393.60,9.96,-0.57,-0.71,-0.73,-0.79,-0.80,-0.86,-7.62,-5.95,-7.98,-8.60,-9.40,-11.72,0.40
0.06,32.39,0.00,531.48,4.49,3603920.25,0.00,404.33,10.00,-0.60,-0.71,-0.72,-0.78,-0.80,-0.86,-7.58,-6.07,-8.03,-8.66,-9.42,-11.74,0.39
0.09,26.99,0.01,544.31,4.07,4141842.75,0.00,430.18,12.11,-0.61,-0.68,-0.71,-0.78,-0.80,-0.85,-7.22,-5.81,-7.61,-8.21,-8.94,-11.26,0.38
0.10,24.63,0.01,546.02,3.91,4876503.50,0.00,450.05,12.43,-0.65,-0.68,-0.72,-0.78,-0.80,-0.85,-7.18,-5.95,-7.59,-8.20,-8.95,-11.24,0.39
0.10,20.65,0.01,607.24,3.58,6063413.00,0.00,465.82,12.20,-0.69,-0.68,-0.74,-0.79,-0.80,-0.85,-7.34,-6.23,-7.68,-8.26,-9.09,-11.30,0.37
0.11,16.92,0.00,581.40,3.31,8421033.00,0.00,439.31,10.67,-0.73,-0.72,-0.80,-0.83,-0.82,-0.87,-7.36,-6.63,-7.91,-8.50,-9.37,-11.41,0.34
0.11,5.87,0.01,1497.75,1.73,3729307.75,0.00,1240.91,27.56,-0.62,-0.75,-0.78,-0.75,-0.78,-0.74,-7.00,-6.11,-6.50,-6.79,-7.23,-10.29,0.47
0.11,5.54,0.01,1511.15,1.71,3475303.00,0.00,1223.20,27.33,-0.62,-0.74,-0.78,-0.75,-0.78,-0.74,-7.01,-6.17,-6.49,-6.82,-7.23,-10.33,0.47
0.12,6.14,0.01,1492.97,1.76,3392025.00,0.00,1179.37,27.58,-0.62,-0.73,-0.77,-0.75,-0.78,-0.74,-6.99,-6.14,-6.48,-6.80,-7.21,-10.38,0.47
0.12,6.05,0.01,1466.65,1.75,4013631.00,0.00,1173.29,28.36,-0.62,-0.72,-0.76,-0.75,-0.78,-0.74,-6.89,-6.11,-6.41,-6.73,-7.16,-10.27,0.47
0.11,5.66,0.01,1464.74,1.70,3699338.25,0.00,1170.70,26.53,-0.63,-0.72,-0.76,-0.75,-0.78,-0.75,-7.06,-6.22,-6.52,-6.86,-7.27,-10.37,0.46
0.11,5.97,0.01,1472.87,1.75,3800076.50,0.00,1166.50,26.04,-0.62,-0.72,-0.75,-0.75,-0.78,-0.75,-7.12,-6.25,-6.55,-6.86,-7.24,-10.33,0.46
0.12,5.67,0.01,1417.84,1.74,3923163.75,0.00,1139.48,26.67,-0.62,-0.72,-0.75,-0.75,-0.79,-0.75,-7.01,-6.18,-6.48,-6.84,-7.20,-10.24,0.46
0.12,5.55,0.01,1342.24,1.70,3759441.50,0.00,1111.92,26.24,-0.64,-0.71,-0.75,-0.75,-0.79,-0.75,-6.95,-6.12,-6.49,-6.88,-7.19,-10.26,0.46
0.13,5.24,0.01,1275.72,1.68,4094488.25,0.00,1095.10,27.33,-0.63,-0.70,-0.75,-0.76,-0.79,-0.75,-6.92,-6.08,-6.40,-6.84,-7.11,-10.16,0.46
0.13,5.68,0.01,1240.31,1.74,3742242.75,0.00,1068.88,27.38,-0.64,-0.70,-0.75,-0.76,-0.80,-0.75,-6.85,-6.10,-6.38,-6.82,-7.09,-10.17,0.46
0.12,5.10,0.01,1226.91,1.69,4055197.25,0.00,1071.11,26.62,-0.65,-0.71,-0.75,-0.76,-0.80,-0.75,-6.85,-6.07,-6.37,-6.83,-7.15,-10.17,0.46
0.12,5.36,0.01,1205.38,1.72,3600551.75,0.00,1061.85,25.87,-0.65,-0.71,-0.76,-0.76,-0.80,-0.75,-6.83,-6.19,-6.38,-6.85,-7.19,-10.21,0.45
0.12,5.70,0.01,1202.51,1.75,3741754.75,0.00,1064.60,26.18,-0.65,-0.70,-0.75,-0.75,-0.80,-0.75,-6.81,-6.18,-6.41,-6.87,-7.16,-10.19,0.46
0.12,5.72,0.01,1250.36,1.75,3794583.75,0.00,1103.85,26.87,-0.66,-0.69,-0.75,-0.75,-0.80,-0.75,-6.84,-6.30,-6.39,-6.86,-7.13,-10.15,0.46
0.11,5.28,0.01,1280.03,1.70,4101498.25,0.00,1099.50,25.16,-0.66,-0.68,-0.75,-0.74,-0.80,-0.75,-6.95,-6.40,-6.51,-6.98,-7.22,-10.25,0.46
0.11,5.73,0.01,1282.90,1.72,4035774.50,0.00,1102.99,24.89,-0.67,-0.68,-0.74,-0.74,-0.80,-0.75,-7.05,-6.49,-6.57,-7.03,-7.25,-10.34,0.45
0.11,5.55,0.01,1326.45,1.68,3678618.75,0.00,1119.57,24.42,-0.68,-0.67,-0.74,-0.75,-0.80,-0.75,-7.18,-6.59,-6.60,-7.01,-7.26,-10.43,0.45
0.10,6.08,0.01,1395.83,1.71,3462231.00,0.00,1171.68,23.78,-0.67,-0.66,-0.73,-0.74,-0.79,-0.74,-7.38,-6.79,-6.69,-7.04,-7.31,-10.55,0.45
0.10,5.42,0.01,1529.34,1.66,3904659.50,0.00,1226.58,23.96,-0.68,-0.66,-0.73,-0.74,-0.79,-0.75,-7.46,-6.75,-6.65,-7.04,-7.30,-10.49,0.45
0.08,5.68,0.00,1503.97,1.71,3752826.75,0.00,1224.15,18.80,-0.70,-0.67,-0.74,-0.74,-0.80,-0.75,-7.75,-7.06,-6.95,-7.33,-7.62,-10.78,0.45
0.08,5.84,0.00,1550.39,1.73,3733362.25,0.00,1215.71,18.73,-0.69,-0.68,-0.74,-0.74,-0.79,-0.75,-7.86,-6.96,-6.98,-7.35,-7.62,-10.77,0.45
0.07,5.89,0.00,1504.93,1.72,3627759.75,0.00,1196.95,18.89,-0.67,-0.67,-0.74,-0.75,-0.79,-0.75,-7.92,-6.94,-7.00,-7.36,-7.66,-10.83,0.45
0.07,6.10,0.00,1421.67,1.75,4249196.50,0.00,1165.64,17.91,-0.67,-0.67,-0.74,-0.75,-0.79,-0.75,-7.96,-6.97,-7.12,-7.42,-7.77,-10.88,0.45
0.06,6.18,0.00,1447.99,1.78,3664241.75,0.00,1142.98,17.18,-0.67,-0.69,-0.75,-0.76,-0.79,-0.75,-7.97,-6.97,-7.24,-7.51,-7.90,-11.08,0.45
0.06,5.98,0.00,1382.43,1.77,3887306.00,0.00,1107.83,16.16,-0.67,-0.70,-0.76,-0.77,-0.79,-0.75,-8.03,-7.00,-7.32,-7.61,-8.05,-11.21,0.45
0.05,6.69,0.00,1317.83,1.85,3903967.75,0.00,1064.24,15.16,-0.67,-0.72,-0.77,-0.77,-0.80,-0.75,-8.03,-7.00,-7.47,-7.76,-8.22,-11.41,0.45
0.05,6.65,0.00,1301.08,1.86,3636213.25,0.00,1047.16,13.78,-0.68,-0.74,-0.78,-0.78,-0.80,-0.76,-8.11,-7.11,-7.65,-8.00,-8.46,-11.63,0.46
0.04,6.77,0.00,1317.83,1.88,3844739.25,0.00,1049.09,12.80,-0.68,-0.75,-0.80,-0.78,-0.80,-0.76,-8.19,-7.20,-7.83,-8.22,-8.66,-11.78,0.46
0.04,5.71,0.00,1223.56,1.78,3905339.50,0.00,996.60,11.22,-0.68,-0.77,-0.81,-0.79,-0.81,-0.76,-8.24,-7.35,-8.06,-8.45,-8.88,-11.99,0.46
0.04,5.30,0.00,1218.30,1.73,4158586.00,0.00,979.64,8.98,-0.69,-0.77,-0.81,-0.80,-0.81,-0.76,-8.43,-7.61,-8.37,-8.69,-9.13,-12.26,0.46
0.03,6.16,0.00,1217.82,1.80,4126054.50,0.00,991.32,6.67,-0.70,-0.79,-0.83,-0.80,-0.82,-0.77,-8.69,-7.88,-8.63,-8.99,-9.44,-12.61,0.45
0.03,5.76,0.00,1320.22,1.76,3801826.50,0.00,1024.13,7.04,-0.70,-0.79,-0.82,-0.80,-0.81,-0.76,-8.39,-7.62,-8.45,-8.74,-9.20,-12.44,0.46
0.03,5.90,0.00,1331.23,1.76,4004238.25,0.00,1027.60,5.78,-0.70,-0.81,-0.82,-0.80,-0.82,-0.77,-8.55,-7.71,-8.56,-8.87,-9.31,-12.54,0.46
0.03,5.88,0.00,1312.09,1.74,3675891.25,0.00,1034.00,5.27,-0.70,-0.81,-0.83,-0.80,-0.82,-0.77,-8.56,-7.70,-8.49,-8.84,-9.23,-12.48,0.46
0.02,5.77,0.00,1392.96,1.74,4068034.75,0.00,1088.56,4.27,-0.72,-0.82,-0.83,-0.81,-0.83,-0.78,-9.38,-8.36,-9.11,-9.47,-9.83,-12.99,0.46
0.03,5.40,0.00,1423.11,1.69,3945184.75,0.00,1119.23,6.53,-0.71,-0.81,-0.83,-0.81,-0.82,-0.78,-9.25,-8.16,-8.97,-9.30,-9.62,-12.74,0.45
0.03,5.09,0.00,1416.88,1.65,4165279.75,0.00,1141.62,8.02,-0.71,-0.80,-0.81,-0.80,-0.82,-0.77,-9.13,-8.08,-8.90,-9.15,-9.48,-12.57,0.45
0.03,5.24,0.00,1395.35,1.66,3796317.50,0.00,1166.32,8.87,-0.70,-0.79,-0.80,-0.80,-0.82,-0.77,-9.15,-8.06,-8.84,-9.09,-9.38,-12.51,0.45
0.03,4.90,0.00,1342.71,1.62,4020061.25,0.00,1151.70,9.73,-0.69,-0.78,-0.79,-0.79,-0.81,-0.77,-9.00,-7.91,-8.73,-8.97,-9.30,-12.39,0.45
0.03,5.01,0.00,1243.18,1.63,4351389.00,0.00,1104.78,10.09,-0.69,-0.78,-0.79,-0.79,-0.81,-0.77,-8.88,-7.78,-8.64,-8.93,-9.23,-12.33,0.45
0.04,5.39,0.00,1216.39,1.67,4291785.00,0.00,1095.53,10.22,-0.68,-0.77,-0.79,-0.78,-0.80,-0.77,-8.85,-7.69,-8.58,-8.88,-9.15,-12.28,0.45
0.04,4.96,0.00,1257.54,1.61,4107584.00,0.00,1114.04,10.64,-0.67,-0.77,-0.79,-0.78,-0.80,-0.76,-8.82,-7.61,-8.46,-8.80,-9.08,-12.22,0.45
0.04,5.43,0.00,1232.66,1.64,3734599.75,0.00,1126.58,10.78,-0.67,-0.77,-0.79,-0.78,-0.79,-0.76,-8.80,-7.52,-8.38,-8.73,-9.03,-12.18,0.45
0.04,5.07,0.00,1253.71,1.61,3847874.75,0.00,1148.68,10.84,-0.66,-0.76,-0.78,-0.78,-0.79,-0.76,-8.81,-7.46,-8.28,-8.68,-8.92,-12.09,0.46
0.03,5.16,0.00,1271.89,1.62,3988443.50,0.00,1175.48,9.33,-0.67,-0.78,-0.79,-0.78,-0.80,-0.76,-8.96,-7.68,-8.45,-8.85,-9.15,-12.32,0.45
0.03,4.96,0.00,1288.16,1.59,3430757.25,0.00,1200.48,7.53,-0.68,-0.78,-0.79,-0.78,-0.80,-0.76,-9.01,-7.86,-8.65,-9.03,-9.33,-12.57,0.45
0.03,5.14,0.00,1295.82,1.59,3563660.50,0.00,1244.46,7.40,-0.68,-0.79,-0.79,-0.78,-0.79,-0.76,-8.94,-7.86,-8.61,-8.99,-9.32,-12.56,0.45
0.03,5.10,0.00,1236.01,1.58,3800565.75,0.00,1214.23,7.73,-0.67,-0.80,-0.79,-0.78,-0.79,-0.76,-8.72,-7.64,-8.43,-8.84,-9.14,-12.37,0.45
0.03,4.88,0.00,1232.66,1.57,4423537.00,0.00,1213.74,7.56,-0.68,-0.79,-0.79,-0.78,-0.79,-0.77,-8.60,-7.57,-8.37,-8.73,-9.06,-12.20,0.45
0.02,5.35,0.00,1294.38,1.63,3539222.75,0.00,1226.71,2.93,-0.73,-0.82,-0.81,-0.81,-0.82,-0.78,-9.67,-8.58,-9.38,-9.75,-10.04,-13.19,0.45
0.02,5.16,0.00,1351.33,1.61,4088561.75,0.00,1264.52,4.76,-0.73,-0.82,-0.80,-0.80,-0.82,-0.79,-9.71,-8.72,-9.43,-9.78,-10.02,-13.10,0.45
0.03,5.06,0.00,1386.26,1.61,3818058.00,0.00,1288.10,7.13,-0.72,-0.81,-0.78,-0.80,-0.82,-0.78,-9.54,-8.50,-9.27,-9.52,-9.79,-12.86,0.45
0.03,5.03,0.00,1345.11,1.61,3933196.50,0.00,1252.97,8.78,-0.71,-0.79,-0.78,-0.80,-0.81,-0.77,-9.36,-8.36,-9.10,-9.36,-9.60,-12.67,0.45
0.03,5.72,0.00,1286.25,1.68,3980020.25,0.00,1217.50,9.51,-0.71,-0.78,-0.77,-0.80,-0.81,-0.77,-9.17,-8.22,-9.05,-9.22,-9.48,-12.58,0.45
0.04,4.96,0.00,1252.75,1.60,4331610.50,0.00,1164.57,10.31,-0.71,-0.77,-0.77,-0.79,-0.81,-0.77,-8.92,-8.02,-8.86,-9.13,-9.35,-12.44,0.45
0.04,5.01,0.00,1226.91,1.61,4025567.25,0.00,1137.76,10.44,-0.70,-0.77,-0.78,-0.79,-0.81,-0.76,-8.80,-7.94,-8.73,-9.04,-9.26,-12.39,0.45
0.04,5.74,0.00,1186.24,1.69,3885109.25,0.00,1099.66,10.53,-0.69,-0.77,-0.78,-0.79,-0.80,-0.76,-8.76,-7.77,-8.64,-8.94,-9.16,-12.32,0.45
0.04,5.03,0.00,1168.54,1.64,3920369.00,0.00,1043.15,10.73,-0.68,-0.76,-0.78,-0.78,-0.80,-0.76,-8.64,-7.65,-8.50,-8.83,-9.06,-12.20,0.45
0.04,5.26,0.00,1160.40,1.64,4269173.50,0.00,1059.16,10.82,-0.67,-0.76,-0.78,-0.78,-0.80,-0.76,-8.67,-7.51,-8.36,-8.73,-8.92,-12.07,0.45
0.04,5.09,0.00,1142.22,1.61,4284407.50,0.00,1077.91,11.04,-0.66,-0.75,-0.78,-0.78,-0.80,-0.75,-8.66,-7.46,-8.32,-8.71,-8.87,-12.03,0.46
0.03,5.05,0.00,1162.31,1.59,3853288.50,0.00,1070.69,8.49,-0.67,-0.76,-0.78,-0.78,-0.81,-0.76,-8.97,-7.81,-8.66,-9.06,-9.18,-12.45,0.45
0.03,5.37,0.00,1113.98,1.60,4475016.50,0.00,1081.58,6.73,-0.67,-0.77,-0.79,-0.79,-0.81,-0.76,-9.14,-7.97,-8.86,-9.22,-9.39,-12.62,0.46
0.03,5.18,0.00,1122.12,1.57,3398979.50,0.00,1113.85,6.73,-0.67,-0.77,-0.79,-0.78,-0.80,-0.75,-8.94,-7.83,-8.76,-9.11,-9.24,-12.59,0.46
0.03,5.25,0.00,1190.07,1.57,3792611.25,0.00,1172.98,6.36,-0.67,-0.79,-0.79,-0.78,-0.80,-0.75,-8.89,-7.70,-8.71,-9.02,-9.16,-12.46,0.46
0.03,4.70,0.00,1270.94,1.50,4094280.25,0.00,1240.99,5.44,-0.67,-0.81,-0.80,-0.78,-0.81,-0.76,-9.12,-7.83,-8.77,-9.20,-9.24,-12.51,0.46
0.02,4.72,0.00,1308.26,1.50,3548040.50,0.00,1257.69,4.53,-0.69,-0.82,-0.81,-0.80,-0.82,-0.77,-9.83,-8.46,-9.35,-9.76,-9.82,-13.09,0.46
0.03,4.76,0.00,1352.29,1.51,4339120.00,0.00,1323.07,6.87,-0.68,-0.81,-0.80,-0.79,-0.82,-0.77,-9.71,-8.35,-9.22,-9.57,-9.61,-12.81,0.46
0.04,4.86,0.00,1371.43,1.52,3971058.25,0.00,1287.86,8.53,-0.67,-0.80,-0.79,-0.78,-0.82,-0.76,-9.53,-8.10,-9.02,-9.37,-9.42,-12.62,0.46
